         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
10/ 7/2018 31: 2:54         930         930         930         930               930     921.944           1
10/ 7/2018 33: 2:51         920         920         920         920               920     921.909           1
10/ 7/2018 34: 2:54         930         930         930         930               930     922.054           1
10/ 7/2018 34: 2:57         920         920         920         920               920     922.018           1
10/ 7/2018 35: 2:14         930         930         930         930               930     922.155           1
10/ 7/2018 35: 2:42         920         920         920         920               920     922.119           1
10/ 7/2018 35: 2:44         930         930         930         930               930      922.25           1
10/ 7/2018 39: 2:18         940         940         940         940               940     922.541           1
10/ 7/2018 39: 2:19         930         930         930         930               930     922.661           1
10/ 7/2018 39: 2:24         940         940         940         940               940     922.937           1
10/ 7/2018 41: 2:45         930         930         930         930               930     923.047           1
10/ 7/2018 41: 2:55         940         940         940         940               940     923.308           1
10/ 7/2018 42: 2:48         930         930         930         930               930     923.409           1
10/ 7/2018 43: 2: 4         940         940         940         940               940     923.657           1
10/ 7/2018 43: 2: 9         930         930         930         930               930      923.75           1
10/ 7/2018 43: 2:11         940         940         940         940               940     923.986           1
10/ 7/2018 43: 2:15         930         930         930         930               930     924.071           1
10/ 7/2018 43: 2:18         940         940         940         940               940     924.296           1
10/ 7/2018 46: 2:48         950         950         950         950               950     924.653           1
10/ 7/2018 47: 2:11         940         940         940         940               940     924.863           1
10/ 7/2018 47: 2:17         950         950         950         950               950     925.203           1
10/ 7/2018 47: 2:18         940         940         940         940               940       925.4           1
10/ 7/2018 47: 2:23         950         950         950         950               950     925.724           1
10/ 7/2018 47: 2:25         940         940         940         940               940     925.909           1
10/ 7/2018 47: 2:27         950         950         950         950               950     926.218           1
10/ 7/2018 47: 2:28         940         940         940         940               940     926.392           1
10/ 7/2018 47: 2:57         950         950         950         950               950     926.688           1
10/ 7/2018 47: 2:58         940         940         940         940               940     926.852           1
10/ 7/2018 48: 2: 1         950         950         950         950               950     927.134           1
10/ 7/2018 48: 2:46         940         940         940         940               940     927.289           1
10/ 7/2018 49: 2:10         950         950         950         950               950      927.56           1
10/ 7/2018 49: 2:14         940         940         940         940               940     927.706           1
10/ 7/2018 50: 2:15         950         950         950         950               950     927.965           1
10/ 7/2018 51: 2:48         940         940         940         940               940     928.103           1
10/ 7/2018 51: 2:54         950         950         950         950               950     928.352           1
10/ 7/2018 52: 2: 5         940         940         940         940               940     928.483           1
10/ 7/2018 52: 2:11         950         950         950         950               950     928.722           1
10/ 7/2018 52: 2:15         940         940         940         940               940     928.846           1
10/ 7/2018 52: 2:26         950         950         950         950               950     929.076           1
10/ 7/2018 52: 2:28         940         940         940         940               940     929.194           1
10/ 7/2018 52: 2:37         950         950         950         950               950     929.415           1
10/ 7/2018 52: 2:38         940         940         940         940               940     929.526           1
10/ 7/2018 53: 2:10         950         950         950         950               950      929.74           1
11/ 7/2018  0: 2:28         940         940         940         940               940     929.845           1
11/ 7/2018  1: 2:48         950         950         950         950               950     930.051           1
11/ 7/2018  2: 2: 5         940         940         940         940               940     930.152           1
11/ 7/2018  2: 2:30         950         950         950         950               950      930.35           1
11/ 7/2018  2: 2:31         940         940         940         940               940     930.446           1
11/ 7/2018  2: 2:34         950         950         950         950               950     930.637           1
11/ 7/2018  2: 2:38         940         940         940         940               940     930.728           1
11/ 7/2018  2: 2:39         950         950         950         950               950     930.913           1
11/ 7/2018  2: 2:41         940         940         940         940               940         931           1
11/ 7/2018  3: 2:21         950         950         950         950               950     931.179           1
11/ 7/2018  3: 2:23         940         940         940         940               940     931.262           1
11/ 7/2018  3: 2:34         950         950         950         950               950     931.435           1
11/ 7/2018  4: 2:36         940         940         940         940               940     931.514           1
11/ 7/2018  4: 2:37         950         950         950         950               950     931.682           1
11/ 7/2018  5: 2:14         940         940         940         940               940     931.757           1
11/ 7/2018  5: 2:49         950         950         950         950               950      931.92           1
11/ 7/2018  7: 2:27         960         960         960         960               960     932.168           1
11/ 7/2018  7: 2:29         950         950         950         950               950     932.325           1
11/ 7/2018  7: 2:31         960         960         960         960               960     932.565           1
11/ 7/2018  9: 2:23         950         950         950         950               950     932.716           1
11/ 7/2018  9: 2:27         960         960         960         960               960     932.949           1
11/ 7/2018  9: 2:28         950         950         950         950               950     933.093           1
11/ 7/2018  9: 2:30         960         960         960         960               960     933.319           1
11/ 7/2018  9: 2:33         950         950         950         950               950     933.458           1
11/ 7/2018 10: 2: 7         960         960         960         960               960     933.678           1
11/ 7/2018 10: 2:10         950         950         950         950               950     933.811           1
11/ 7/2018 10: 2:16         960         960         960         960               960     934.024           1
11/ 7/2018 10: 2:53         950         950         950         950               950     934.153           1
11/ 7/2018 11: 2: 3         960         960         960         960               960      934.36           1
11/ 7/2018 11: 2:14         950         950         950         950               950     934.484           1
11/ 7/2018 11: 2:15         960         960         960         960               960     934.685           1
11/ 7/2018 11: 2:17         950         950         950         950               950     934.805           1
11/ 7/2018 16: 2:57         940         940         940         940               940     934.845           1
11/ 7/2018 21: 2:29         950         950         950         950               950     934.962           1
11/ 7/2018 21: 2:30         940         940         940         940               940         935           1
11/ 7/2018 21: 2:32         950         950         950         950               950     935.114           1
11/ 7/2018 21: 2:41         940         940         940         940               940      935.15           1
11/ 7/2018 30: 2: 4         930         930         930         930               930     935.112           1
11/ 7/2018 30: 2: 8         920         920         920         920               920         935           1
11/ 7/2018 30: 2: 9         930         930         930         930               930     934.963           1
11/ 7/2018 30: 2:11         920         920         920         920               920     934.854           1
11/ 7/2018 30: 2:12         930         930         930         930               930     934.819           1
11/ 7/2018 30: 2:13         920         920         920         920               920     934.712           1
11/ 7/2018 30: 2:18         930         930         930         930               930     934.679           1
11/ 7/2018 30: 2:21         920         920         920         920               920     934.574           1
11/ 7/2018 30: 2:39         930         930         930         930               930     934.542           1
11/ 7/2018 33: 2:40         940         940         940         940               940      934.58           1
11/ 7/2018 33: 2:41         930         930         930         930               930     934.549           1
11/ 7/2018 33: 2:42         940         940         940         940               940     934.586           1
11/ 7/2018 36: 2:23         950         950         950         950               950     934.692           1
11/ 7/2018 36: 2:25         940         940         940         940               940     934.728           1
11/ 7/2018 39: 2:33         930         930         930         930               930     934.696           1
11/ 7/2018 39: 2:35         940         940         940         940               940     934.732           1
11/ 7/2018 39: 2:50         930         930         930         930               930       934.7           1
11/ 7/2018 39: 2:56         940         940         940         940               940     934.735           1
11/ 7/2018 40: 2: 3         930         930         930         930               930     934.704           1
11/ 7/2018 40: 2: 7         940         940         940         940               940     934.739           1
11/ 7/2018 40: 2:16         930         930         930         930               930     934.708           1
11/ 7/2018 40: 2:24         940         940         940         940               940     934.742           1
11/ 7/2018 40: 2:25         930         930         930         930               930     934.712           1
11/ 7/2018 41: 2: 9         920         920         920         920               920     934.618           1
11/ 7/2018 41: 2:10         930         930         930         930               930     934.589           1
11/ 7/2018 41: 2:11         920         920         920         920               920     934.497           1
11/ 7/2018 41: 2:12         930         930         930         930               930     934.469           1
11/ 7/2018 43: 2:37         920         920         920         920               920     934.379           1
11/ 7/2018 49: 2:22         910         910         910         910               910     934.228           1
11/ 7/2018 49: 2:24         920         920         920         920               920     934.141           1
11/ 7/2018 50: 2:16         910         910         910         910               910     933.994           1
11/ 7/2018 50: 2:19         900         900         900         900               900     933.788           1
11/ 7/2018 50: 2:23         910         910         910         910               910     933.645           1
11/ 7/2018 50: 2:36         920         920         920         920               920     933.563           1
11/ 7/2018 50: 2:43         910         910         910         910               910     933.423           1
11/ 7/2018 50: 2:44         920         920         920         920               920     933.343           1
11/ 7/2018 51: 2:13         910         910         910         910               910     933.206           1
11/ 7/2018 51: 2:14         920         920         920         920               920     933.129           1
11/ 7/2018 53: 2:50         910         910         910         910               910     932.994           1
11/ 7/2018 53: 2:58         920         920         920         920               920     932.919           1
11/ 7/2018 55: 2:27         910         910         910         910               910     932.787           1
11/ 7/2018 56: 2:34         900         900         900         900               900       932.6           1
11/ 7/2018 56: 2:36         910         910         910         910               910     932.472           1
11/ 7/2018 56: 2:41         900         900         900         900               900     932.288           1
11/ 7/2018 56: 2:46         910         910         910         910               910     932.163           1
11/ 7/2018 56: 2:55         900         900         900         900               900     931.983           1
11/ 7/2018 56: 2:57         910         910         910         910               910     931.861           1
11/ 7/2018 57: 2:44         900         900         900         900               900     931.685           1
11/ 7/2018 58: 2: 8         910         910         910         910               910     931.566           1
11/ 7/2018 58: 2:48         900         900         900         900               900     931.393           1
11/ 7/2018 59: 2:38         910         910         910         910               910     931.277           1
11/ 7/2018 59: 2:45         900         900         900         900               900     931.108           1
11/ 7/2018 59: 2:46         910         910         910         910               910     930.995           1
11/ 7/2018 59: 2:48         900         900         900         900               900     930.829           1
11/ 7/2018 59: 2:53         910         910         910         910               910     930.718           1
11/ 7/2018 59: 2:56         920         920         920         920               920     930.661           1
12/ 7/2018  0: 2:29         910         910         910         910               910     930.553           1
12/ 7/2018  0: 2:51         900         900         900         900               900     930.393           1
12/ 7/2018  0: 2:53         910         910         910         910               910     930.286           1
12/ 7/2018  1: 2: 0         900         900         900         900               900      930.13           1
12/ 7/2018  1: 2: 2         910         910         910         910               910     930.026           1
12/ 7/2018  1: 2:27         920         920         920         920               920     929.974           1
12/ 7/2018  1: 2:33         910         910         910         910               910     929.872           1
12/ 7/2018  1: 2:45         900         900         900         900               900     929.721           1
12/ 7/2018  2: 2:18         910         910         910         910               910     929.621           1
12/ 7/2018  2: 2:19         900         900         900         900               900     929.472           1
12/ 7/2018  2: 2:38         910         910         910         910               910     929.375           1
12/ 7/2018  2: 2:39         900         900         900         900               900     929.229           1
12/ 7/2018  2: 2:42         910         910         910         910               910     929.134           1
12/ 7/2018  2: 2:44         920         920         920         920               920     929.089           1
12/ 7/2018  9: 2:43         930         930         930         930               930     929.093           1
12/ 7/2018  9: 2:45         920         920         920         920               920     929.049           1
12/ 7/2018 10: 2:39         930         930         930         930               930     929.053           1
12/ 7/2018 10: 2:45         920         920         920         920               920      929.01           1
12/ 7/2018 10: 2:49         930         930         930         930               930     929.014           1
12/ 7/2018 13: 2:33         920         920         920         920               920     928.971           1
12/ 7/2018 13: 2:34         930         930         930         930               930     928.976           1
12/ 7/2018 22: 2:53         940         940         940         940               940     929.028           1
12/ 7/2018 22: 2:54         930         930         930         930               930     929.033           1
12/ 7/2018 26: 2:18         940         940         940         940               940     929.085           1
12/ 7/2018 29: 2:38         930         930         930         930               930     929.089           1
12/ 7/2018 34: 2:26         940         940         940         940               940      929.14           1
12/ 7/2018 34: 2:45         930         930         930         930               930     929.144           1
12/ 7/2018 34: 2:46         940         940         940         940               940     929.194           1
12/ 7/2018 35: 2: 4         930         930         930         930               930     929.197           1
12/ 7/2018 35: 2: 9         940         940         940         940               940     929.247           1
12/ 7/2018 40: 2:58         950         950         950         950               950     929.341           1
12/ 7/2018 40: 2:59         940         940         940         940               940     929.389           1
12/ 7/2018 42: 2:57         950         950         950         950               950     929.482           1
12/ 7/2018 43: 2:37         940         940         940         940               940     929.529           1
12/ 7/2018 47: 2: 4         950         950         950         950               950     929.621           1
12/ 7/2018 49: 2: 2         940         940         940         940               940     929.667           1
12/ 7/2018 49: 2: 3         950         950         950         950               950     929.757           1
12/ 7/2018 56: 2:42         960         960         960         960               960      929.89           1
12/ 7/2018 56: 2:43         950         950         950         950               950     929.978           1
12/ 7/2018 56: 2:55         960         960         960         960               960     930.109           1
12/ 7/2018 56: 2:57         950         950         950         950               950     930.196           1
12/ 7/2018 57: 2: 1         960         960         960         960               960     930.325           1
12/ 7/2018 57: 2: 2         950         950         950         950               950     930.409           1
12/ 7/2018 57: 2:16         960         960         960         960               960     930.536           1
12/ 7/2018 57: 2:19         950         950         950         950               950      930.62           1
12/ 7/2018 57: 2:45         960         960         960         960               960     930.745           1
12/ 7/2018 57: 2:47         950         950         950         950               950     930.826           1
12/ 7/2018 58: 2:14         960         960         960         960               960     930.949           1
12/ 7/2018 58: 2:19         950         950         950         950               950     931.029           1
12/ 7/2018 58: 2:22         960         960         960         960               960     931.151           1
12/ 7/2018 58: 2:37         950         950         950         950               950     931.229           1
12/ 7/2018 58: 2:38         960         960         960         960               960     931.349           1
12/ 7/2018 58: 2:41         950         950         950         950               950     931.426           1
12/ 7/2018 58: 2:46         960         960         960         960               960     931.543           1
12/ 7/2018 58: 2:48         950         950         950         950               950     931.619           1
12/ 7/2018 58: 2:52         960         960         960         960               960     931.735           1
12/ 7/2018 58: 2:53         950         950         950         950               950     931.809           1
12/ 7/2018 59: 2: 8         960         960         950         950               955     931.903           2
14/ 7/2018  0: 2:31         930         930         930         930               930     931.895           1
14/ 7/2018  6: 2:41         940         940         940         940               940     931.928           1
14/ 7/2018  6: 2:42         930         930         930         930               930      931.92           1
14/ 7/2018  7: 2:14         940         940         940         940               940     931.952           1
14/ 7/2018  7: 2:19         930         930         930         930               930     931.944           1
14/ 7/2018  7: 2:39         940         940         940         940               940     931.976           1
14/ 7/2018  8: 2: 4         930         930         930         930               930     931.969           1
14/ 7/2018  8: 2:25         940         940         940         940               940         932           1
14/ 7/2018  8: 2:30         930         930         930         930               930     931.992           1
14/ 7/2018  8: 2:52         940         940         940         940               940     932.023           1
14/ 7/2018  8: 2:54         930         940         930         940               935     932.035           2
14/ 7/2018  9: 2: 2         930         930         930         930               930     932.027           1
14/ 7/2018  9: 2:53         940         940         940         940               940     932.058           1
14/ 7/2018 13: 2:43         930         930         930         930               930      932.05           1
14/ 7/2018 13: 2:52         940         940         940         940               940      932.08           1
14/ 7/2018 13: 2:55         930         940         930         940               935     932.091           2
14/ 7/2018 14: 2: 3         930         930         930         930               930     932.083           1
14/ 7/2018 14: 2:26         940         940         940         940               940     932.113           1
14/ 7/2018 14: 2:41         930         930         930         930               930     932.105           1
14/ 7/2018 14: 2:45         940         940         940         940               940     932.135           1
14/ 7/2018 14: 2:47         930         930         930         930               930     932.127           1
14/ 7/2018 14: 2:54         940         940         940         940               940     932.156           1
14/ 7/2018 22: 2:21         930         930         930         930               930     932.148           1
14/ 7/2018 22: 2:22         940         940         940         940               940     932.177           1
14/ 7/2018 29: 2:54         950         950         950         950               950     932.243           1
14/ 7/2018 36: 2:41         960         960         960         960               960     932.344           1
14/ 7/2018 36: 2:45         950         950         950         950               950     932.409           1
14/ 7/2018 36: 2:52         960         960         960         960               960     932.509           1
14/ 7/2018 42: 2:18         950         950         950         950               950     932.572           1
14/ 7/2018 46: 2:28         960         960         960         960               960     932.671           1
14/ 7/2018 46: 2:30         950         950         950         950               950     932.734           1
14/ 7/2018 47: 2:10         960         960         960         960               960     932.832           1
14/ 7/2018 48: 2:24         970         970         970         970               970     932.964           1
14/ 7/2018 48: 2:25         960         960         960         960               960      933.06           1
14/ 7/2018 48: 2:26         970         970         970         970               970     933.191           1
14/ 7/2018 48: 2:29         960         960         960         960               960     933.286           1
14/ 7/2018 48: 2:32         970         970         970         970               970     933.415           1
14/ 7/2018 48: 2:55         960         960         960         960               960     933.509           1
14/ 7/2018 48: 2:56         970         970         970         970               970     933.636           1
14/ 7/2018 48: 2:57         960         960         960         960               960     933.728           1
14/ 7/2018 49: 2:21         970         970         970         970               970     933.854           1
14/ 7/2018 49: 2:22         960         960         960         960               960     933.945           1
14/ 7/2018 50: 2:56         970         970         970         970               970     934.069           1
14/ 7/2018 51: 2: 5         960         960         960         960               960     934.158           1
14/ 7/2018 52: 2:22         950         950         950         950               950     934.212           1
14/ 7/2018 52: 2:35         960         960         960         960               960       934.3           1
14/ 7/2018 52: 2:37         950         950         950         950               950     934.354           1
14/ 7/2018 53: 2:20         960         960         960         960               960     934.441           1
14/ 7/2018 54: 2:24         970         970         970         970               970     934.561           1
14/ 7/2018 54: 2:28         960         960         960         960               960     934.646           1
14/ 7/2018 54: 2:43         970         970         970         970               970     934.765           1
15/ 7/2018  1: 2:38         980         980         980         980               980     934.916           1
15/ 7/2018  1: 2:54         990         990         990         990               990       935.1           1
15/ 7/2018  2: 2: 5         980         980         980         980               980     935.249           1
15/ 7/2018  2: 2:25         990         990         990         990               990      935.43           1
15/ 7/2018  2: 2:27         980         980         980         980               980     935.578           1
15/ 7/2018  2: 2:29         990         990         990         990               990     935.757           1
15/ 7/2018  2: 2:30         980         980         980         980               980     935.902           1
15/ 7/2018  7: 2: 6         970         970         970         970               970     936.013           1
15/ 7/2018  7: 2:26         980         980         980         980               980     936.156           1
15/ 7/2018  7: 2:45         970         970         970         970               970     936.266           1
15/ 7/2018  7: 2:46         980         980         980         980               980     936.408           1
15/ 7/2018  7: 2:49         970         970         970         970               970     936.516           1
15/ 7/2018  7: 2:52         980         980         980         980               980     936.656           1
15/ 7/2018  8: 2:15         970         970         970         970               970     936.763           1
15/ 7/2018  8: 2:16         980         980         980         980               980     936.901           1
15/ 7/2018  8: 2:17         970         970         970         970               970     937.006           1
15/ 7/2018  8: 2:18         980         980         980         980               980     937.143           1
15/ 7/2018  8: 2:25         970         970         970         970               970     937.247           1
15/ 7/2018  8: 2:34         980         980         980         980               980     937.382           1
15/ 7/2018  8: 2:35         970         970         970         970               970     937.484           1
15/ 7/2018  9: 2:26         980         980         980         980               980     937.618           1
15/ 7/2018  9: 2:27         970         970         970         970               970     937.719           1
15/ 7/2018  9: 2:43         980         980         980         980               980      937.85           1
15/ 7/2018  9: 2:44         970         970         970         970               970      937.95           1
15/ 7/2018  9: 2:46         980         980         980         980               980      938.08           1
15/ 7/2018  9: 2:51         970         970         970         970               970     938.179           1
15/ 7/2018 10: 2:14         980         980         980         980               980     938.308           1
15/ 7/2018 11: 2:32         970         970         970         970               970     938.405           1
15/ 7/2018 11: 2:38         980         980         980         980               980     938.532           1
15/ 7/2018 11: 2:39         970         970         970         970               970     938.628           1
15/ 7/2018 11: 2:40         980         980         980         980               980     938.754           1
15/ 7/2018 11: 2:48         970         970         970         970               970     938.848           1
15/ 7/2018 12: 2: 9         980         980         980         980               980     938.973           1
15/ 7/2018 12: 2:11         970         970         970         970               970     939.066           1
15/ 7/2018 12: 2:12         980         980         980         980               980     939.189           1
15/ 7/2018 12: 2:31         970         970         970         970               970     939.281           1
15/ 7/2018 12: 2:34         980         980         980         980               980     939.403           1
15/ 7/2018 12: 2:35         970         970         970         970               970     939.494           1
15/ 7/2018 12: 2:47         980         980         980         980               980     939.614           1
15/ 7/2018 13: 2: 0         970         970         970         970               970     939.704           1
15/ 7/2018 13: 2: 2         980         980         980         980               980     939.823           1
15/ 7/2018 13: 2: 4         970         970         970         970               970     939.912           1
15/ 7/2018 13: 2: 5         980         980         980         980               980     940.029           1
15/ 7/2018 13: 2: 6         970         970         970         970               970     940.117           1
15/ 7/2018 13: 2:32         980         980         980         980               980     940.233           1
15/ 7/2018 14: 2:48         990         990         990         990               990     940.378           1
15/ 7/2018 14: 2:49         980         980         980         980               980     940.493           1
15/ 7/2018 14: 2:59         990         990         990         990               990     940.636           1
15/ 7/2018 15: 2:17         980         980         980         980               980     940.749           1
15/ 7/2018 15: 2:20         990         990         990         990               990     940.891           1
15/ 7/2018 15: 2:25         980         980         980         980               980     941.003           1
15/ 7/2018 15: 2:26         990         990         990         990               990     941.143           1
15/ 7/2018 15: 2:33         980         980         980         980               980     941.254           1
15/ 7/2018 15: 2:39         990         990         990         990               990     941.392           1
15/ 7/2018 16: 2:19         980         980         980         980               980     941.501           1
15/ 7/2018 16: 2:20         990         990         990         990               990     941.638           1
15/ 7/2018 20: 2:12        1000        1000        1000        1000              1000     941.803           1
15/ 7/2018 20: 2:56         990         990         990         990               990     941.938           1
15/ 7/2018 21: 2: 5        1000        1000        1000        1000              1000     942.101           1
15/ 7/2018 21: 2:13         990         990         990         990               990     942.235           1
15/ 7/2018 22: 2:32         980         980         980         980               980      942.34           1
15/ 7/2018 23: 2:39         990         990         990         990               990     942.472           1
15/ 7/2018 24: 2:40         980         980         980         980               980     942.576           1
15/ 7/2018 25: 2:23         990         990         990         990               990     942.707           1
15/ 7/2018 27: 2:13         980         980         980         980               980      942.81           1
15/ 7/2018 28: 2:11         990         990         990         990               990      942.94           1
15/ 7/2018 28: 2:21         980         980         980         980               980     943.041           1
15/ 7/2018 28: 2:25         990         990         990         990               990     943.169           1
15/ 7/2018 31: 2:54        1000        1000        1000        1000              1000     943.324           1
15/ 7/2018 32: 2: 2         990         990         990         990               990     943.451           1
15/ 7/2018 32: 2: 5        1000        1000        1000        1000              1000     943.604           1
15/ 7/2018 32: 2: 8         990         990         990         990               990      943.73           1
15/ 7/2018 32: 2: 9        1000        1000        1000        1000              1000     943.881           1
15/ 7/2018 33: 2:28        1010        1010        1010        1010              1010     944.059           1
15/ 7/2018 33: 2:55        1000        1000        1000        1000              1000     944.209           1
15/ 7/2018 35: 2:50         990         990         990         990               990     944.332           1
15/ 7/2018 35: 2:51        1000        1000        1000        1000              1000      944.48           1
15/ 7/2018 35: 2:56         990         990         990         990               990     944.601           1
15/ 7/2018 36: 2:35        1000        1000        1000        1000              1000     944.748           1
15/ 7/2018 41: 2:17         990         990         990         990               990     944.868           1
15/ 7/2018 42: 2:24         980         980         980         980               980      944.96           1
15/ 7/2018 42: 2:25         990         990         990         990               990     945.079           1
15/ 7/2018 47: 2:29        1000        1000        1000        1000              1000     945.223           1
15/ 7/2018 47: 2:30         990         990         990         990               990      945.34           1
15/ 7/2018 47: 2:34        1000        1000        1000        1000              1000     945.483           1
15/ 7/2018 47: 2:35         990         990         990         990               990     945.599           1
15/ 7/2018 47: 2:40        1000        1000        1000        1000              1000      945.74           1
15/ 7/2018 54: 2:18        1010        1010        1010        1010              1010     945.907           1
15/ 7/2018 54: 2:21        1000        1000        1000        1000              1000     946.047           1
15/ 7/2018 54: 2:22        1010        1010        1010        1010              1010     946.211           1
15/ 7/2018 54: 2:23        1000        1000        1000        1000              1000      946.35           1
15/ 7/2018 54: 2:24        1010        1010        1010        1010              1010     946.513           1
15/ 7/2018 54: 2:25        1000        1000        1000        1000              1000      946.65           1
15/ 7/2018 54: 2:26        1010        1010        1010        1010              1010     946.811           1
15/ 7/2018 55: 2: 1        1000        1000        1000        1000              1000     946.947           1
15/ 7/2018 58: 2:24        1010        1010        1010        1010              1010     947.107           1
15/ 7/2018 59: 2:35        1020        1020        1020        1020              1020     947.291           1
15/ 7/2018 59: 2:38        1010        1010        1010        1010              1010     947.449           1
15/ 7/2018 59: 2:40        1020        1020        1020        1020              1020     947.632           1
15/ 7/2018 59: 2:47        1010        1010        1010        1010              1010     947.789           1
16/ 7/2018  0: 2:28        1020        1020        1020        1020              1020      947.97           1
16/ 7/2018  0: 2:33        1010        1010        1010        1010              1010     948.125           1
16/ 7/2018  1: 2: 0        1020        1020        1020        1020              1020     948.304           1
16/ 7/2018  2: 2: 4        1030        1030        1030        1030              1030     948.507           1
16/ 7/2018  2: 2: 9        1020        1020        1020        1020              1020     948.685           1
16/ 7/2018  4: 2: 9        1010        1010        1010        1010              1010     948.837           1
16/ 7/2018  4: 2:11        1020        1020        1020        1020              1020     949.012           1
16/ 7/2018  4: 2:18        1010        1010        1010        1010              1010     949.163           1
16/ 7/2018  4: 2:32        1020        1020        1020        1020              1020     949.337           1
16/ 7/2018  4: 2:43        1010        1010        1010        1010              1010     949.485           1
16/ 7/2018  7: 2:29        1020        1020        1020        1020              1020     949.658           1
16/ 7/2018  7: 2:31        1010        1010        1010        1010              1010     949.805           1
16/ 7/2018  7: 2:35        1020        1020        1020        1020              1020     949.976           1
16/ 7/2018  9: 2:17        1030        1030        1030        1030              1030      950.17           1
16/ 7/2018  9: 2:35        1020        1020        1020        1020              1020     950.339           1
16/ 7/2018  9: 2:40        1030        1030        1030        1030              1030     950.531           1
16/ 7/2018 10: 2:13        1020        1020        1020        1020              1020     950.699           1
16/ 7/2018 10: 2:14        1030        1030        1030        1030              1030     950.889           1
16/ 7/2018 11: 2:16        1020        1020        1020        1020              1020     951.055           1
16/ 7/2018 13: 2:28        1030        1030        1030        1030              1030     951.244           1
16/ 7/2018 13: 2:29        1020        1020        1020        1020              1020     951.408           1
16/ 7/2018 14: 2: 7        1030        1030        1030        1030              1030     951.595           1
16/ 7/2018 17: 2:29        1020        1020        1020        1020              1020     951.758           1
16/ 7/2018 17: 2:33        1030        1030        1030        1030              1030     951.943           1
16/ 7/2018 17: 2:39        1020        1020        1020        1020              1020     952.104           1
16/ 7/2018 17: 2:56        1030        1030        1030        1030              1030     952.288           1
16/ 7/2018 17: 2:57        1020        1020        1020        1020              1020     952.447           1
16/ 7/2018 18: 2: 3        1030        1030        1030        1030              1030     952.629           1
