         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
11/ 7/2018 32: 2:49         300         300         300         300               300     310.385           1
11/ 7/2018 32: 2:51         310         310         310         310               310     310.382           1
11/ 7/2018 32: 2:57         300         300         300         300               300     310.303           1
11/ 7/2018 33: 2: 6         310         310         310         310               310     310.301           1
11/ 7/2018 33: 2:11         300         300         300         300               300     310.224           1
11/ 7/2018 33: 2:27         310         310         310         310               310     310.222           1
11/ 7/2018 41: 2: 9         300         300         300         300               300     310.147           1
11/ 7/2018 41: 2:26         310         310         310         310               310     310.146           1
11/ 7/2018 41: 2:30         300         300         300         300               300     310.072           1
11/ 7/2018 41: 2:31         310         310         310         310               310     310.072           1
11/ 7/2018 41: 2:33         300         300         300         300               300         310           1
11/ 7/2018 41: 2:43         310         310         310         310               310         310           1
11/ 7/2018 41: 2:44         300         300         300         300               300      309.93           1
11/ 7/2018 42: 2: 3         310         310         310         310               310      309.93           1
11/ 7/2018 42: 2:37         300         300         300         300               300     309.861           1
11/ 7/2018 43: 2: 7         310         310         310         310               310     309.862           1
11/ 7/2018 43: 2:17         300         300         300         300               300     309.795           1
12/ 7/2018 11: 2:14         310         310         310         310               310     309.796           1
12/ 7/2018 11: 2:27         300         300         300         300               300      309.73           1
12/ 7/2018 11: 2:28         310         310         310         310               310     309.732           1
12/ 7/2018 11: 2:33         300         300         300         300               300     309.667           1
12/ 7/2018 11: 2:34         310         310         310         310               310     309.669           1
12/ 7/2018 12: 2:35         300         300         300         300               300     309.605           1
12/ 7/2018 13: 2:57         310         310         310         310               310     309.608           1
12/ 7/2018 15: 2:58         300         300         300         300               300     309.545           1
12/ 7/2018 15: 2:59         310         310         310         310               310     309.548           1
12/ 7/2018 16: 2: 1         300         300         300         300               300     309.487           1
12/ 7/2018 16: 2:32         310         310         310         310               310      309.49           1
12/ 7/2018 17: 2:26         300         300         300         300               300      309.43           1
12/ 7/2018 17: 2:37         310         310         310         310               310     309.434           1
12/ 7/2018 17: 2:45         300         300         300         300               300     309.375           1
12/ 7/2018 17: 2:56         310         310         310         310               310     309.379           1
12/ 7/2018 19: 2: 5         300         300         300         300               300     309.321           1
12/ 7/2018 19: 2:14         310         310         310         310               310     309.325           1
12/ 7/2018 19: 2:19         300         300         300         300               300     309.268           1
12/ 7/2018 19: 2:22         310         310         310         310               310     309.273           1
12/ 7/2018 19: 2:27         300         300         300         300               300     309.217           1
12/ 7/2018 19: 2:32         310         310         310         310               310     309.222           1
12/ 7/2018 49: 2:31         320         320         320         320               320     309.286           1
12/ 7/2018 49: 2:37         310         310         310         310               310      309.29           1
12/ 7/2018 49: 2:39         320         320         320         320               320     309.353           1
12/ 7/2018 49: 2:40         310         310         310         310               310     309.357           1
12/ 7/2018 49: 2:58         320         320         320         320               320     309.419           1
12/ 7/2018 50: 2: 1         310         310         310         310               310     309.422           1
12/ 7/2018 50: 2: 7         320         320         320         320               320     309.483           1
12/ 7/2018 50: 2: 8         310         310         310         310               310     309.486           1
12/ 7/2018 50: 2:10         320         320         320         320               320     309.545           1
12/ 7/2018 52: 2:35         310         310         310         310               310     309.548           1
12/ 7/2018 52: 2:37         320         320         320         320               320     309.607           1
12/ 7/2018 55: 2:24         310         310         310         310               310     309.609           1
12/ 7/2018 55: 2:25         320         320         320         320               320     309.667           1
14/ 7/2018  0: 2:31         310         310         310         310               310     309.669           1
14/ 7/2018  1: 2:16         300         300         300         300               300     309.615           1
14/ 7/2018  1: 2:25         310         310         310         310               310     309.617           1
14/ 7/2018 31: 2:45         320         320         320         320               320     309.674           1
14/ 7/2018 43: 2:23         310         310         310         310               310     309.676           1
14/ 7/2018 44: 2:11         320         320         320         320               320     309.731           1
14/ 7/2018 44: 2:14         310         310         310         310               310     309.733           1
14/ 7/2018 44: 2:16         320         320         320         320               320     309.787           1
14/ 7/2018 55: 2: 8         330         330         330         330               330     309.894           1
14/ 7/2018 55: 2:12         320         320         320         320               320     309.947           1
14/ 7/2018 55: 2:36         330         330         330         330               330     310.052           1
14/ 7/2018 55: 2:38         320         320         320         320               320     310.104           1
14/ 7/2018 55: 2:40         330         330         330         330               330     310.207           1
14/ 7/2018 56: 2:39         320         320         320         320               320     310.258           1
