         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
 9/ 7/2018 55: 2: 1        3370        4050        3370        3350          20              3590       71800       71800          20        3590         310
10/ 7/2018  5: 2:20        3440        3440        3440        3440         500              3440     1720000  1278191367      376940     3390.97           1
10/ 7/2018  5: 2:21        3370        3370        3370        3370       16648              3370    56103760  1334295127      393588     3390.08           1
10/ 7/2018  5: 2:27        3370        3370        3370        3370        1500              3370     5055000  1339350127      395088        3390           1
10/ 7/2018  5: 2:30        3450        3450        3450        3450         242              3450      834900  1340185027      395330     3390.04           1
10/ 7/2018  5: 2:31        3430        3430        3430        3430        4000              3430    13720000  1353905027      399330     3390.44           1
10/ 7/2018  5: 2:35        3420        3420        3380        3380        2233           3393.33     7577313  1361482340      401563     3390.46           2
10/ 7/2018  5: 2:36        3460        3460        3460        3460         300              3460     1038000  1362520340      401863     3390.51           1
10/ 7/2018  5: 2:37        3400        3400        3400        3400        2000              3400     6800000  1369320340      403863     3390.56           1
10/ 7/2018  5: 2:42        3510        3510        3400        3400        2000           3436.67     6873333  1376193673      405863     3390.78           2
10/ 7/2018  5: 2:46        3410        3410        3410        3410        1000              3410     3410000  1379603673      406863     3390.83           1
10/ 7/2018  5: 2:51        3370        3370        3370        3370         100              3370      337000  1379940673      406963     3390.83           1
10/ 7/2018  5: 2:53        3380        3430        3380        3430        1000           3413.33     3413333  1383354006      407963     3390.88           2
10/ 7/2018  5: 2:57        3360        3360        3360        3360         100              3360      336000  1383690006      408063     3390.87           1
10/ 7/2018  5: 2:59        3440        3440        3440        3440        1000              3440     3440000  1387130006      409063     3390.99           1
10/ 7/2018  6: 2: 6        3350        3350        3350        3350         100              3350      335000  1387465006      409163     3390.98           1
10/ 7/2018  6: 2: 8        3450        3450        3450        3450        1000              3450     3450000  1390915006      410163     3391.13           1
10/ 7/2018  6: 2: 9        4050        4050        4050        4050       39000              4050   157950000  1548865006      449163     3448.34           1
10/ 7/2018  6: 2:11        3340        3340        3340        3340         100              3340      334000  1549199006      449263     3448.31           1
10/ 7/2018  6: 2:15        3460        3460        3360        3390        2000           3403.33     6806666  1556005672      451263     3448.11           4
10/ 7/2018  6: 2:16        3380        3380        3380        3380        2500              3380     8450000  1564455672      453763     3447.74           1
10/ 7/2018  6: 2:17        3350        3350        3350        3350        3797              3350    12719950  1577175622      457560     3446.93           1
10/ 7/2018  6: 2:20        3390        3390        3370        3370        5000           3376.67    16883333  1594058955      462560     3446.17           3
10/ 7/2018  6: 2:21        3370        3370        3360        3360        5351           3363.33    17997196  1612056151      467911     3445.22           2
10/ 7/2018  6: 2:22        3470        3470        3470        3470        1000              3470     3470000  1615526151      468911     3445.27           1
10/ 7/2018  6: 2:24        3300        3300        3300        3300        1180              3300     3894000  1619420151      470091     3444.91           1
10/ 7/2018  6: 2:25        3370        3370        3370        3370        2844              3370     9584280  1629004431      472935     3444.46           2
10/ 7/2018  6: 2:26        3380        3380        3370        3370        5000           3373.33    16866666  1645871097      477935     3443.71           2
10/ 7/2018  6: 2:30        3380        3380        3380        3380        1500              3380     5070000  1650941097      479435     3443.51           1
10/ 7/2018  6: 2:32        3380        3380        3380        3380        5000              3380    16900000  1667841097      484435     3442.86           1
10/ 7/2018  6: 2:33        3370        3370        3370        3370        1000              3370     3370000  1671211097      485435     3442.71           2
10/ 7/2018  6: 2:36        3370        3370        3370        3370        5000              3370    16850000  1688061097      490435     3441.97           1
10/ 7/2018  6: 2:38        3490        3490        3490        3490        1000              3490     3490000  1691551097      491435     3442.06           1
10/ 7/2018  6: 2:39        3370        3370        3370        3370        5000              3370    16850000  1708401097      496435     3441.34           3
10/ 7/2018  6: 2:41        3370        3370        3370        3370        1500              3370     5055000  1713456097      497935     3441.12           1
10/ 7/2018  6: 2:42        3370        3370        3370        3370        1000              3370     3370000  1716826097      498935     3440.98           2
10/ 7/2018  6: 2:44        3480        3480        3480        3480        1000              3480     3480000  1720306097      499935     3441.06           1
