         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
11/ 7/2018 59: 2:37         580         580         570         570       25000           573.333    14333333  1335916664     2400000     556.632           2
12/ 7/2018  8: 2:46         560         560         560         560       25000               560    14000000  1349916664     2425000     556.667           1
12/ 7/2018  8: 2:58         580         580         580         580       25000               580    14500000  1364416664     2450000     556.905           1
12/ 7/2018  9: 2: 1         570         570         570         570       25000               570    14250000  1378666664     2475000     557.037           1
12/ 7/2018  9: 2:32         560         560         560         560       25000               560    14000000  1392666664     2500000     557.067           1
12/ 7/2018 10: 2: 7         570         570         570         570       25000               570    14250000  1406916664     2525000     557.195           1
12/ 7/2018 15: 2:29         580         580         580         580       25000               580    14500000  1421416664     2550000     557.418           1
12/ 7/2018 15: 2:31         570         570         570         570       25000               570    14250000  1435666664     2575000      557.54           1
12/ 7/2018 15: 2:33         580         580         580         580       25000               580    14500000  1450166664     2600000     557.756           1
12/ 7/2018 15: 2:34         570         570         570         570       25000               570    14250000  1464416664     2625000     557.873           1
12/ 7/2018 15: 2:36         580         580         570         570       25000           573.333    14333333  1478749997     2650000     558.019           2
12/ 7/2018 16: 2: 0         580         580         580         580       25000               580    14500000  1493249997     2675000     558.224           1
12/ 7/2018 16: 2: 2         570         570         570         570       25000               570    14250000  1507499997     2700000     558.333           1
12/ 7/2018 16: 2: 8         580         580         580         580       25000               580    14500000  1521999997     2725000     558.532           1
12/ 7/2018 16: 2:17         570         570         570         570       25000               570    14250000  1536249997     2750000     558.636           1
12/ 7/2018 17: 2:51         580         580         580         580       25000               580    14500000  1550749997     2775000     558.829           1
12/ 7/2018 17: 2:52         570         570         570         570       25000               570    14250000  1564999997     2800000     558.929           1
12/ 7/2018 18: 2:19         580         580         570         570       25000           573.333    14333333  1579333330     2825000     559.056           2
12/ 7/2018 21: 2:38         580         580         580         580       25000               580    14500000  1593833330     2850000      559.24           1
12/ 7/2018 23: 2:21         570         570         570         570       25000               570    14250000  1608083330     2875000     559.333           1
12/ 7/2018 23: 2:28         590         590         590         590       25000               590    14750000  1622833330     2900000     559.598           1
