         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
 9/ 7/2018 55: 2: 1        6000        6330        6000        5750           2           6026.67       12053       12053           2      6026.5         410
10/ 7/2018 56: 2:21        5250        5250        5250        5250         100              5250      525000 17904702489     3383051     5292.47           1
10/ 7/2018 56: 2:31        5590        5590        5590        5590        1750              5590     9782500 17914484989     3384801     5292.63           1
10/ 7/2018 56: 2:33        4750        4750        4750        4750         600              4750     2850000 17917334989     3385401     5292.53           1
10/ 7/2018 56: 2:35        5220        5220        5220        5220           5              5220       26100 17917361089     3385406     5292.53           1
10/ 7/2018 56: 2:37        5280        5280        5280        5280        1500              5280     7920000 17925281089     3386906     5292.52           1
10/ 7/2018 56: 2:47        5230        5230        5230        5230         500              5230     2615000 17927896089     3387406     5292.51           1
10/ 7/2018 56: 2:52        5300        5300        5300        5300         100              5300      530000 17928426089     3387506     5292.51           1
10/ 7/2018 57: 2: 1        5260        5260        5260        5260        2000              5260    10520000 17938946089     3389506      5292.5           1
10/ 7/2018 57: 2: 2        5360        5360        5360        5360        4129              5360    22131440 17961077529     3393635     5292.58           1
10/ 7/2018 57: 2: 8        5220        5220        5220        5220        3000              5220    15660000 17976737529     3396635     5292.51           1
10/ 7/2018 57: 2:25        5060        5060        5060        5060        5000              5060    25300000 18002037529     3401635     5292.17           1
10/ 7/2018 57: 2:27        5220        5230        5220        5230         400           5226.67     2090666 18004128195     3402035     5292.16           3
10/ 7/2018 57: 2:28        5200        5200        5200        5200        2500              5200    13000000 18017128195     3404535      5292.1           1
10/ 7/2018 57: 2:31        5160        5160        4230        4230         208              4540      944320 18018072515     3404743     5292.05           2
10/ 7/2018 57: 2:38        5230        5230        5230        5230         450              5230     2353500 18020426015     3405193     5292.04           1
10/ 7/2018 57: 2:45        5170        5170        5170        5170        2500              5170    12925000 18033351015     3407693     5291.95           1
10/ 7/2018 57: 2:46        5350        5350        5350        5350        6000              5350    32100000 18065451015     3413693     5292.05           1
10/ 7/2018 58: 2: 1        5230        5230        5230        5230         698              5230     3650540 18069101555     3414391     5292.04           1
10/ 7/2018 58: 2: 5        5230        5230        5230        5230        1102              5230     5763460 18074865015     3415493     5292.02           1
10/ 7/2018 58: 2: 6        5600        5600        5600        5600         624              5600     3494400 18078359415     3416117     5292.08           1
10/ 7/2018 58: 2: 8        5230        5230        5230        5230        1469              5230     7682870 18086042285     3417586     5292.05           1
10/ 7/2018 58: 2: 9        5380        5380        5380        5380          20              5380      107600 18086149885     3417606     5292.05           1
10/ 7/2018 58: 2:15        5350        5350        5350        5350         700              5350     3745000 18089894885     3418306     5292.06           1
10/ 7/2018 58: 2:24        5430        5430        5430        5430          20              5430      108600 18090003485     3418326     5292.07           1
10/ 7/2018 58: 2:25        5190        5190        5190        5190         250              5190     1297500 18091300985     3418576     5292.06           1
10/ 7/2018 58: 2:31        5220        5220        5220        5220           5              5220       26100 18091327085     3418581     5292.06           1
10/ 7/2018 58: 2:38        5230        5230        5230        5230        2000              5230    10460000 18101787085     3420581     5292.02           1
10/ 7/2018 58: 2:41        5230        5290        5230        5290         250              5270     1317500 18103104585     3420831     5292.02           3
10/ 7/2018 58: 2:43        5400        5400        5400        5400        1063              5400     5740200 18108844785     3421894     5292.05           1
10/ 7/2018 58: 2:48        6000        6000        6000        6000        1000              6000     6000000 18114844785     3422894     5292.26           1
10/ 7/2018 59: 2: 1        4940        4940        4940        4940        1200              4940     5928000 18120772785     3424094     5292.14           1
10/ 7/2018 59: 2: 5        5230        5230        5230        5230         111              5230      580530 18121353315     3424205     5292.13           1
10/ 7/2018 59: 2: 9        5250        5250        5250        5250         100              5250      525000 18121878315     3424305     5292.13           1
10/ 7/2018 59: 2:10        5220        5220        5220        5220         100              5220      522000 18122400315     3424405     5292.13           1
10/ 7/2018 59: 2:16        5220        5220        5220        5220         200              5220     1044000 18123444315     3424605     5292.13           1
10/ 7/2018 59: 2:30        5300        5300        5300        5300       15000              5300    79500000 18202944315     3439605     5292.16           1
10/ 7/2018 59: 2:31        5230        5230        5230        5230         500              5230     2615000 18205559315     3440105     5292.15           1
10/ 7/2018 59: 2:41        5140        5240        5140        5240       10000           5206.67    52066666 18257625981     3450105      5291.9           2
10/ 7/2018 59: 2:45        5300        5300        5300        5300        1000              5300     5300000 18262925981     3451105     5291.91           1
10/ 7/2018 59: 2:53        5220        5220        5070        5070          50              5120      256000 18263181981     3451155      5291.9           2
11/ 7/2018  0: 2: 4        5230        5230        5230        5230         300              5230     1569000 18264750981     3451455      5291.9           1
11/ 7/2018  0: 2: 6        5230        5230        5230        5230           9              5230       47070 18264798051     3451464      5291.9           1
11/ 7/2018  0: 2:16        5370        5370        5370        5370        1041              5370     5590170 18270388221     3452505     5291.92           1
11/ 7/2018  0: 2:18        5190        5190        5190        5190         368              5190     1909920 18272298141     3452873     5291.91           1
11/ 7/2018  0: 2:25        5220        5220        5220        5220        1000              5220     5220000 18277518141     3453873     5291.89           1
11/ 7/2018  0: 2:34        5250        5250        5250        5250         100              5250      525000 18278043141     3453973     5291.89           1
11/ 7/2018  0: 2:36        5220        5220        5220        5220        1000              5220     5220000 18283263141     3454973     5291.87           1
11/ 7/2018  0: 2:39        5230        5230        5230        5230         100              5230      523000 18283786141     3455073     5291.87           1
11/ 7/2018  0: 2:41        5220        5220        5220        5220        5000              5220    26100000 18309886141     3460073     5291.76           1
11/ 7/2018  0: 2:42        5230        5230        5230        5230           9              5230       47070 18309933211     3460082     5291.76           1
11/ 7/2018  0: 2:54        5230        5230        5230        5230           8              5230       41840 18309975051     3460090     5291.76           1
11/ 7/2018  0: 2:56        5230        5230        5230        5230        1000              5230     5230000 18315205051     3461090     5291.74           1
11/ 7/2018  1: 2: 2        5180        5180        5180        5180          30              5180      155400 18315360451     3461120     5291.74           1
11/ 7/2018  1: 2:18        5220        5220        5220        5220         549              5220     2865780 18318226231     3461669     5291.73           1
11/ 7/2018  1: 2:22        5220        5220        5220        5220        2500              5220    13050000 18331276231     3464169     5291.68           1
11/ 7/2018  1: 2:34        5220        5220        5220        5220         200              5220     1044000 18332320231     3464369     5291.68           1
11/ 7/2018  1: 2:35        5220        5220        5220        5220           3              5220       15660 18332335891     3464372     5291.68           1
